time,buy_yuan_per_kwh,sell_yuan_per_kwh
378000,0.527414,0.152768
381600,0.188769,0.168769
385200,0.072935,0.052935
388800,0.094665,0.074665
392400,0.051909,0.031909
396000,0.155982,0.112367
399600,0.527748,0.107350
403200,0.985223,0.070733
406800,0.875953,0.045145
410400,0.916253,0.071942
414000,0.749659,0.055116
417600,0.785222,0.078295
421200,0.464827,0.089668
424800,0.553410,0.085783
428400,0.547458,0.094747
432000,0.483934,0.090734
435600,0.498970,0.076846
439200,0.153767,0.049432
442800,0.184530,0.050264
446400,0.192849,0.020000
450000,0.179838,0.032349
453600,0.612513,0.062111
457200,0.892954,0.098172
460800,0.876760,0.159703
464400,0.513117,0.165797
468000,0.148011,0.128011
471600,0.050000,0.030000
475200,0.050000,0.030000
478800,0.050000,0.030000
482400,0.114141,0.094141
486000,0.470962,0.149721
489600,1.014994,0.174170
493200,1.058557,0.087037
496800,1.211284,0.087266
500400,1.191880,0.080855
504000,1.179093,0.135449
507600,0.748526,0.136060
511200,0.615623,0.149448
514800,0.614400,0.136513
518400,0.602088,0.164741
522000,0.609189,0.184435
525600,0.250188,0.203728
529200,0.273232,0.216385
532800,0.275974,0.164532
536400,0.284050,0.174233
540000,0.615587,0.148694
543600,0.908913,0.135054
547200,0.802295,0.135874
550800,0.446747,0.105372
554400,0.106612,0.081879
558000,0.053388,0.033388
561600,0.061625,0.041625
565200,0.070226,0.050226
568800,0.167317,0.109678
572400,0.501100,0.132337
576000,0.937405,0.079756
579600,0.908642,0.054092
583200,1.066843,0.037432
586800,0.879079,0.057382
590400,0.936689,0.064273
594000,0.542000,0.029391
597600,0.608692,0.097910
601200,0.612375,0.089914
604800,0.569509,0.067602
608400,0.551024,0.099968
612000,0.199593,0.127966
615600,0.200187,0.103088
619200,0.190548,0.120618
622800,0.161144,0.135468
626400,0.490854,0.155532
630000,0.888388,0.176209
633600,0.953423,0.163182
637200,0.631465,0.171805
640800,0.274655,0.191072
644400,0.144897,0.124897
648000,0.148591,0.128591
651600,0.138877,0.118877
655200,0.219011,0.134925
658800,0.628499,0.168120
662400,1.175701,0.078968
666000,1.277187,0.131259
669600,1.285626,0.204956
673200,1.048576,0.210213
676800,0.953162,0.265051
680400,0.683162,0.236590
684000,0.752861,0.199631
687600,0.694970,0.146896
691200,0.685384,0.150388
694800,0.733852,0.172401
698400,0.321448,0.180818
702000,0.301783,0.181312
705600,0.279987,0.172860
709200,0.235869,0.133043
712800,0.611274,0.182173
716400,0.940963,0.215811
720000,0.959093,0.186879
723600,0.683187,0.182091
727200,0.308462,0.152602
730800,0.217760,0.155135
734400,0.175825,0.155825
738000,0.149967,0.129967
741600,0.225566,0.116241
745200,0.524416,0.160034
748800,0.976326,0.119858
752400,0.969457,0.097821
756000,1.052082,0.104735
759600,0.817741,0.101732
763200,0.857957,0.153849
766800,0.523528,0.142304
770400,0.536041,0.182784
774000,0.609661,0.206399
777600,0.631285,0.224463
781200,0.653309,0.164322
784800,0.295449,0.163686
788400,0.246898,0.144670
792000,0.258785,0.206976
795600,0.287099,0.225940
799200,0.612086,0.230046
802800,0.884756,0.200418
806400,0.914122,0.255074
810000,0.570739,0.230666
813600,0.290624,0.201677
817200,0.189863,0.155900
820800,0.167420,0.147420
824400,0.159650,0.139650
828000,0.228243,0.161218
831600,0.529758,0.116612
835200,1.078072,0.103494
838800,1.146448,0.096129
842400,1.085486,0.092943
846000,0.922687,0.104962
849600,0.832262,0.135337
853200,0.517517,0.155509
856800,0.472121,0.134721
860400,0.481768,0.174421
864000,0.448152,0.192393
867600,0.485996,0.199016
871200,0.109534,0.089534
874800,0.062696,0.042696
878400,0.152257,0.132257
882000,0.155684,0.135684
885600,0.494641,0.173582
889200,0.976638,0.175264
892800,1.144817,0.146005
896400,0.699875,0.132226
900000,0.293185,0.103523
903600,0.188009,0.096456
907200,0.190918,0.086258
910800,0.141733,0.075947
914400,0.228554,0.082878
918000,0.620827,0.104418
921600,1.175946,0.081774
925200,1.121637,0.125249
928800,1.108017,0.050066
932400,0.902605,0.117114
936000,0.873705,0.118369
939600,0.538173,0.144323
943200,0.530096,0.103386
946800,0.538540,0.133076
950400,0.552556,0.124141
954000,0.623894,0.187683
957600,0.284322,0.219201
961200,0.297506,0.221664
964800,0.257180,0.156352
968400,0.233590,0.146347
972000,0.538937,0.168261
975600,0.886897,0.168878
979200,0.900456,0.203415
982800,0.655412,0.205725
986400,0.326067,0.174641
990000,0.195413,0.143454
993600,0.178382,0.150302
997200,0.166785,0.146785
1000800,0.303405,0.164012
1004400,0.630402,0.112938
1008000,1.149830,0.110779
1011600,1.022934,0.082474
1015200,1.097718,0.060699
1018800,0.997247,0.096275
1022400,0.909479,0.132215
1026000,0.563148,0.170712
1029600,0.566938,0.165850
1033200,0.547491,0.161775
1036800,0.530364,0.128305
1040400,0.548738,0.152942
1044000,0.188468,0.159748
1047600,0.192405,0.153698
1051200,0.227984,0.122248
1054800,0.144700,0.124512
1058400,0.485199,0.105923
1062000,0.858841,0.112694
1065600,0.916237,0.107484
1069200,0.546448,0.131126
1072800,0.178637,0.149576
1076400,0.073254,0.053254
1080000,0.142355,0.122355
1083600,0.125634,0.105634
1087200,0.272696,0.159626
1090800,0.610870,0.147345
1094400,1.080428,0.186462
1098000,1.002843,0.226464
1101600,1.000562,0.189155
1105200,0.909286,0.199136
1108800,0.917210,0.140961
1112400,0.625731,0.095058
1116000,0.692588,0.112539
1119600,0.694851,0.131949
1123200,0.753321,0.172812
1126800,0.735724,0.137332
1130400,0.405775,0.155009
1134000,0.371194,0.163044
1137600,0.373423,0.159126
1141200,0.306566,0.130990
1144800,0.666382,0.112699
1148400,0.948659,0.136818
1152000,0.979655,0.144478
1155600,0.582001,0.108661
1159200,0.254730,0.095007
1162800,0.152976,0.103033
1166400,0.177509,0.077202
1170000,0.163847,0.068163
1173600,0.195568,0.072215
1177200,0.552658,0.111178
1180800,0.977590,0.126499
1184400,0.934357,0.177406
1188000,1.089336,0.144559
1191600,0.944968,0.158876
1195200,0.883995,0.128702
1198800,0.498159,0.162281
1202400,0.525440,0.157831
1206000,0.461889,0.111636
1209600,0.487952,0.140356
1213200,0.509389,0.156532
1216800,0.174586,0.111099
1220400,0.210071,0.121450
1224000,0.135384,0.104603
1227600,0.174576,0.151419
1231200,0.564186,0.146398
1234800,0.951833,0.137808
1238400,1.038948,0.119983
1242000,0.565030,0.117879
1245600,0.186847,0.109861
1249200,0.106826,0.086826
1252800,0.050000,0.030000
1256400,0.077297,0.057297
1260000,0.200808,0.114894
1263600,0.570048,0.081255
1267200,1.011881,0.071905
1270800,1.091303,0.126105
1274400,1.170750,0.100755
1278000,1.022897,0.072690
1281600,1.050094,0.140363
1285200,0.699591,0.119351
1288800,0.636427,0.126422
1292400,0.623152,0.130658
1296000,0.604035,0.093971
1299600,0.640985,0.144589
1303200,0.324740,0.180076
1306800,0.267184,0.172441
1310400,0.268505,0.166866
1314000,0.326003,0.163070
1317600,0.638362,0.132563
1321200,0.929006,0.124612
1324800,0.923400,0.123738
1328400,0.608630,0.143983
1332000,0.239457,0.121726
1335600,0.187338,0.163279
1339200,0.187802,0.142232
1342800,0.219073,0.181398
1346400,0.327486,0.158502
1350000,0.764750,0.185813
1353600,1.246701,0.180444
1357200,1.099620,0.204353
1360800,1.227997,0.239465
1364400,1.004875,0.216649
1368000,1.015237,0.192243
1371600,0.697442,0.161712
1375200,0.599255,0.156743
1378800,0.543290,0.129203
1382400,0.544999,0.152285
1386000,0.523138,0.184958
1389600,0.180904,0.160904
1393200,0.196354,0.160741
1396800,0.192514,0.147796
1400400,0.151785,0.131785
1404000,0.405649,0.109352
1407600,0.808262,0.136322
1411200,0.795612,0.142357
1414800,0.456209,0.098137
1418400,0.134309,0.087860
1422000,0.073500,0.053500
1425600,0.086185,0.066185
1429200,0.116330,0.096330
1432800,0.237511,0.114523
1436400,0.540586,0.100658
1440000,1.038788,0.121099
1443600,1.048659,0.089707
1447200,1.127839,0.114852
1450800,0.964766,0.149848
1454400,0.988172,0.180934
1458000,0.601224,0.177560
1461600,0.573793,0.148523
1465200,0.596587,0.115839
1468800,0.517730,0.139385
1472400,0.494816,0.144398
1476000,0.126424,0.106424
1479600,0.064920,0.044920
1483200,0.050348,0.030348
1486800,0.084140,0.064140
1490400,0.458208,0.126902
1494000,0.814099,0.127130
1497600,0.893792,0.099823
1501200,0.631883,0.135075
1504800,0.296708,0.145351
1508400,0.219101,0.144267
1512000,0.224615,0.174796
1515600,0.209527,0.183045
1519200,0.294003,0.189380
1522800,0.587891,0.156872
1526400,1.012359,0.184447
1530000,1.003091,0.137578
1533600,1.081068,0.225252
1537200,1.047148,0.229156
1540800,0.924543,0.196841
1544400,0.574359,0.185954
1548000,0.564081,0.205297
1551600,0.605730,0.200265
1555200,0.587055,0.201390
1558800,0.522117,0.193434
1562400,0.222727,0.188131
1566000,0.191953,0.163275
1569600,0.190890,0.170890
1573200,0.136868,0.116868
1576800,0.476595,0.167673
1580400,0.867219,0.175706
1584000,0.886995,0.201123
1587600,0.535462,0.156856
1591200,0.225602,0.184350
1594800,0.179245,0.159245
1598400,0.153127,0.133127
1602000,0.125784,0.105784
1605600,0.256446,0.178363
1609200,0.586034,0.160566
1612800,1.156733,0.157827
1616400,1.161533,0.165115
1620000,1.113513,0.133878
1623600,0.969670,0.161077
1627200,1.055928,0.126844
1630800,0.766896,0.125021
1634400,0.752069,0.137719
1638000,0.709351,0.132891
1641600,0.757257,0.184670
1645200,0.722000,0.207663
1648800,0.378129,0.210030
1652400,0.353508,0.168260
1656000,0.352576,0.190052
1659600,0.307465,0.157057
1663200,0.577578,0.149606
1666800,0.784282,0.124341
1670400,0.768679,0.171659
1674000,0.395689,0.124078
1677600,0.062082,0.042082
1681200,0.050000,0.030000
1684800,0.058237,0.038237
1688400,0.078813,0.058813
1692000,0.219823,0.184571
1695600,0.526175,0.171631
1699200,1.031366,0.147361
1702800,1.050704,0.114494
1706400,1.092678,0.102591
1710000,0.940312,0.135277
1713600,1.020311,0.168645
1717200,0.639508,0.201607
1720800,0.611958,0.163251
1724400,0.732627,0.183177
1728000,0.706330,0.138999
1731600,0.738735,0.160370
1735200,0.384824,0.173546
1738800,0.369164,0.154667
1742400,0.341477,0.141505
1746000,0.294674,0.103159
1749600,0.614018,0.148069
1753200,0.997211,0.175620
1756800,0.926995,0.190869
1760400,0.592871,0.172473
1764000,0.283747,0.189944
1767600,0.211046,0.191046
1771200,0.204242,0.184242
1774800,0.176756,0.155703
1778400,0.258785,0.139737
1782000,0.650187,0.133260
1785600,1.010061,0.133289
1789200,0.974441,0.117366
1792800,0.833034,0.098769
1796400,0.664702,0.111370
1800000,0.798057,0.148266
1803600,0.528155,0.132427
1807200,0.497409,0.113875
1810800,0.431605,0.126755
1814400,0.358068,0.104449
1818000,0.362191,0.139479
1821600,0.109200,0.089200
1825200,0.165103,0.145103
1828800,0.180267,0.160267
1832400,0.195331,0.146077
1836000,0.504197,0.170200
1839600,0.838587,0.176394
1843200,0.846794,0.159379
1846800,0.494055,0.167452
1850400,0.150860,0.130860
1854000,0.095493,0.075493
1857600,0.126243,0.106243
1861200,0.098159,0.078159
1864800,0.229248,0.165793
1868400,0.664017,0.185037
1872000,1.077023,0.170544
1875600,0.998133,0.128325
1879200,1.121393,0.172292
1882800,0.971860,0.203351
1886400,1.057173,0.243531
1890000,0.677980,0.229500
1893600,0.738455,0.251962
1897200,0.721876,0.224052
1900800,0.708645,0.214551
1904400,0.724285,0.148303
1908000,0.348616,0.162213
1911600,0.286896,0.156018
1915200,0.249609,0.123812
1918800,0.240467,0.095438
1922400,0.529672,0.084742
1926000,0.897209,0.071300
1929600,0.872625,0.030243
1933200,0.551341,0.042999
1936800,0.136407,0.041535
1940400,0.050000,0.030000
1944000,0.050000,0.030000
1947600,0.050000,0.030000
1951200,0.128792,0.079207
1954800,0.473865,0.092507
1958400,0.959963,0.098036
1962000,0.960087,0.118594
1965600,0.989724,0.129473
1969200,0.775695,0.126084
1972800,0.835256,0.144722
1976400,0.537938,0.127794
1980000,0.564477,0.148468
1983600,0.582748,0.125832
1987200,0.594899,0.127873
1990800,0.685346,0.152155
1994400,0.294596,0.122651
1998000,0.273104,0.129332
2001600,0.272171,0.156827
2005200,0.241569,0.137681
2008800,0.546107,0.135094
2012400,0.868828,0.144784
2016000,0.859583,0.113704
2019600,0.544871,0.140837
2023200,0.188856,0.113634
2026800,0.084092,0.064092
2030400,0.117440,0.097440
2034000,0.128424,0.108424
2037600,0.209787,0.130807
2041200,0.564202,0.147454
2044800,1.104958,0.070483
2048400,1.117428,0.132864
2052000,1.016407,0.132223
2055600,0.882573,0.175295
2059200,0.901415,0.192681
2062800,0.499837,0.148108
2066400,0.531674,0.141137
2070000,0.506773,0.160366
2073600,0.568020,0.146886
2077200,0.629222,0.191765
2080800,0.288319,0.197176
2084400,0.289743,0.214662
2088000,0.222106,0.201772
2091600,0.189833,0.167390
2095200,0.512670,0.107940
2098800,0.791677,0.075705
2102400,0.830232,0.020000
2106000,0.572167,0.020000
2109600,0.216896,0.023892
2113200,0.110874,0.061513
2116800,0.145192,0.093885
2120400,0.149901,0.081863
2124000,0.202369,0.060940
2127600,0.595442,0.120745
2131200,1.197465,0.065362
2134800,1.042376,0.046913
2138400,0.972464,0.079137
2142000,0.835844,0.108629
2145600,0.828474,0.124325
2149200,0.527613,0.143699
2152800,0.572858,0.153218
2156400,0.518559,0.150765
2160000,0.554754,0.143099
2163600,0.550249,0.152347
2167200,0.261967,0.152999
2170800,0.267419,0.199867
2174400,0.272866,0.190732
2178000,0.306679,0.212567
2181600,0.663681,0.184261
2185200,1.000872,0.132505
2188800,0.915379,0.124902
2192400,0.569180,0.121868
2196000,0.163112,0.126424
2199600,0.093829,0.073829
2203200,0.073157,0.053157
2206800,0.080456,0.060456
2210400,0.170220,0.123754
2214000,0.500107,0.158118
2217600,1.073560,0.165413
2221200,1.087479,0.193087
2224800,1.045250,0.222833
2228400,0.962605,0.202988
2232000,0.917507,0.161438
2235600,0.552304,0.126595
2239200,0.552942,0.075991
2242800,0.558891,0.114204
2246400,0.583476,0.143316
2250000,0.580577,0.174694
2253600,0.210543,0.179348
2257200,0.230814,0.158415
2260800,0.215035,0.150179
2264400,0.171157,0.151157
2268000,0.585819,0.158407
2271600,1.058659,0.078256
2275200,1.045807,0.138688
2278800,0.626888,0.158791
2282400,0.238782,0.135293
2286000,0.156262,0.136262
2289600,0.143041,0.123041
2293200,0.101252,0.081252
2296800,0.199309,0.106572
2300400,0.560574,0.101214
2304000,0.959185,0.050940
2307600,1.002036,0.077183
2311200,1.166846,0.129031
2314800,0.984237,0.150606
2318400,0.953883,0.127228
2322000,0.582972,0.093077
2325600,0.632968,0.114650
2329200,0.543218,0.099670
2332800,0.573757,0.134853
2336400,0.571488,0.161915
2340000,0.269150,0.135917
2343600,0.239194,0.137193
2347200,0.262939,0.111398
2350800,0.218020,0.090818
2354400,0.616317,0.109000
2358000,0.990123,0.132015
2361600,0.917709,0.106164
2365200,0.607365,0.111156
2368800,0.285256,0.136552
2372400,0.192920,0.156498
2376000,0.154560,0.134560
2379600,0.124618,0.104618
2383200,0.173433,0.100842
2386800,0.538969,0.102484
2390400,1.040251,0.052229
2394000,0.913706,0.020000
2397600,0.847066,0.063951
2401200,0.770916,0.094840
2404800,0.755500,0.121031
2408400,0.339677,0.139075
2412000,0.395700,0.158530
2415600,0.417495,0.150172
2419200,0.397214,0.148157
2422800,0.375319,0.116487
2426400,0.105122,0.085122
2430000,0.149535,0.129535
2433600,0.208158,0.111103
2437200,0.194354,0.104813
2440800,0.544787,0.085765
2444400,0.917810,0.121065
2448000,0.976955,0.137302
2451600,0.622034,0.097249
2455200,0.328502,0.142098
2458800,0.181161,0.109855
2462400,0.165244,0.116720
2466000,0.142980,0.117739
2469600,0.262577,0.110268
2473200,0.643111,0.057888
2476800,1.092925,0.027937
2480400,1.047602,0.020000
2484000,1.061160,0.020000
2487600,0.927966,0.020000
2491200,0.954807,0.020000
2494800,0.535645,0.060487
2498400,0.502454,0.091355
2502000,0.493645,0.132072
2505600,0.455615,0.120511
2509200,0.414528,0.111651
2512800,0.076994,0.056994
2516400,0.092054,0.072054
2520000,0.123622,0.084993
2523600,0.135218,0.097958
2527200,0.459868,0.111131
2530800,0.851425,0.142963
2534400,0.934858,0.139059
2538000,0.534081,0.134105
2541600,0.177055,0.141336
2545200,0.107598,0.087598
2548800,0.133294,0.113294
2552400,0.171624,0.151624
2556000,0.258343,0.207258
2559600,0.631752,0.207510
2563200,1.072215,0.234678
2566800,1.101230,0.280448
2570400,1.108213,0.308971
2574000,0.888798,0.275380
2577600,0.815774,0.238154
2581200,0.538111,0.243159
2584800,0.513474,0.183944
2588400,0.478166,0.190065
2592000,0.482474,0.188091
2595600,0.565803,0.201704
2599200,0.131081,0.111081
2602800,0.094499,0.074499
2606400,0.095900,0.075900
2610000,0.167677,0.147677
2613600,0.537516,0.210844
2617200,0.927116,0.213016
2620800,0.862617,0.169419
2624400,0.473801,0.174228
2628000,0.130848,0.110848
2631600,0.050000,0.030000
2635200,0.064535,0.044535
2638800,0.083541,0.063541
2642400,0.222598,0.153964
2646000,0.584618,0.147743
2649600,1.133527,0.127497
2653200,1.167774,0.108617
2656800,1.014893,0.030845
2660400,0.735924,0.020000
2664000,0.817067,0.020000
2667600,0.538514,0.020000
2671200,0.511855,0.024319
2674800,0.468162,0.080864
2678400,0.468170,0.120038
2682000,0.498110,0.106076
2685600,0.217459,0.153142
2689200,0.207264,0.115332
2692800,0.191353,0.112050
2696400,0.158519,0.137532
2700000,0.534287,0.134095
2703600,0.848678,0.118396
2707200,0.818877,0.128055
2710800,0.550393,0.134424
2714400,0.236981,0.121462
2718000,0.128243,0.080298
2721600,0.087141,0.067141
2725200,0.092333,0.057365
2728800,0.198122,0.045452
2732400,0.595049,0.082358
2736000,1.170119,0.131672
2739600,1.177677,0.088653
2743200,1.232753,0.076978
2746800,1.104619,0.078363
2750400,1.103691,0.151402
2754000,0.645371,0.162941
2757600,0.649600,0.155613
2761200,0.600214,0.128085
2764800,0.523735,0.087044
2768400,0.588666,0.091269
2772000,0.265585,0.070177
2775600,0.306563,0.081952
2779200,0.314004,0.115289
2782800,0.307468,0.108106
2786400,0.636298,0.112310
2790000,0.972372,0.030700
2793600,0.928343,0.088611
2797200,0.607182,0.091261
2800800,0.244358,0.109646
2804400,0.124649,0.104649
2808000,0.133938,0.113938
2811600,0.134759,0.114759
2815200,0.309948,0.195806
2818800,0.699202,0.217834
2822400,1.183625,0.265927
2826000,1.159642,0.236420
2829600,1.172009,0.262329
2833200,0.979868,0.216923
2836800,0.907505,0.219648
2840400,0.541633,0.181684
2844000,0.530716,0.161264
2847600,0.504030,0.176045
2851200,0.581766,0.197403
2854800,0.622002,0.204214
2858400,0.192224,0.150821
2862000,0.206642,0.159684
2865600,0.240290,0.166842
2869200,0.260663,0.128926
2872800,0.655507,0.130421
2876400,0.990727,0.142417
2880000,0.919123,0.146900
2883600,0.514578,0.139961
2887200,0.161260,0.104817
2890800,0.060013,0.040013
2894400,0.087602,0.067602
2898000,0.123698,0.093317
2901600,0.202535,0.086816
2905200,0.483760,0.044314
2908800,0.949372,0.065526
2912400,1.003528,0.074072
2916000,1.013840,0.023500
2919600,0.820703,0.020000
2923200,0.866819,0.020000
2926800,0.487295,0.020195
2930400,0.455568,0.020000
2934000,0.499819,0.036700
2937600,0.509318,0.025242
2941200,0.510324,0.024051
2944800,0.162709,0.029619
2948400,0.118810,0.020065
2952000,0.110379,0.020000
2955600,0.149854,0.020000
2959200,0.445668,0.029286
2962800,0.693898,0.031753
2966400,0.633294,0.035916
2970000,0.328899,0.044078
2973600,0.053296,0.033296
2977200,0.050000,0.030000
2980800,0.050000,0.030000
2984400,0.050000,0.030000
2988000,0.153143,0.133143
2991600,0.560389,0.149090
2995200,0.988911,0.178113
2998800,0.970169,0.199407
3002400,0.934213,0.175859
3006000,0.758758,0.167220
3009600,0.795736,0.181347
3013200,0.541722,0.181096
3016800,0.598989,0.155875
3020400,0.561349,0.114742
3024000,0.565696,0.141362
3027600,0.572405,0.121074
3031200,0.294471,0.167391
3034800,0.269360,0.140060
3038400,0.260811,0.145469
3042000,0.239487,0.112614
3045600,0.726200,0.125337
3049200,1.113460,0.136422
3052800,1.060666,0.164303
3056400,0.752747,0.176276
3060000,0.335843,0.138649
3063600,0.225002,0.152706
3067200,0.223991,0.150908
3070800,0.194330,0.129736
3074400,0.262520,0.126772
3078000,0.623525,0.140557
3081600,1.163810,0.190406
3085200,1.195825,0.170211
3088800,1.056681,0.174956
3092400,0.935216,0.141814
3096000,0.858319,0.096667
3099600,0.450505,0.069524
3103200,0.450230,0.061292
3106800,0.441609,0.020653
3110400,0.469176,0.026120
3114000,0.508178,0.020000
3117600,0.117260,0.028212
3121200,0.118231,0.041158
3124800,0.125402,0.067227
3128400,0.121816,0.040552
3132000,0.486310,0.045103
3135600,0.798921,0.071962
3139200,0.858416,0.057290
3142800,0.539629,0.099651
3146400,0.134435,0.107125
3150000,0.050000,0.030000
3153600,0.076017,0.056017
3157200,0.100105,0.080105
3160800,0.196546,0.145258
3164400,0.569132,0.145271
3168000,1.065138,0.179584
3171600,1.147444,0.155516
3175200,1.038986,0.173140
3178800,0.807053,0.152460
3182400,0.742448,0.089587
3186000,0.407598,0.090261
3189600,0.515267,0.095063
3193200,0.513938,0.066479
3196800,0.434518,0.074960
3200400,0.396869,0.097418
3204000,0.067662,0.047662
3207600,0.068724,0.048724
3211200,0.105511,0.085511
3214800,0.128040,0.108040
3218400,0.461904,0.105878
3222000,0.911389,0.137741
3225600,0.889777,0.122076
3229200,0.506699,0.099478
3232800,0.196546,0.107354
3236400,0.068848,0.048848
3240000,0.062301,0.042301
3243600,0.082718,0.062718
3247200,0.177013,0.107400
3250800,0.597205,0.115937
3254400,1.059691,0.163925
3258000,1.203536,0.226620
3261600,1.151142,0.179300
3265200,0.951524,0.196760
3268800,0.932125,0.188004
3272400,0.531288,0.203559
3276000,0.484123,0.155488
3279600,0.543017,0.195355
3283200,0.541325,0.161380
3286800,0.551099,0.175371
3290400,0.234236,0.168051
3294000,0.269190,0.165839
3297600,0.284196,0.118576
3301200,0.273212,0.128561
3304800,0.670749,0.103612
3308400,0.885501,0.081926
3312000,0.900245,0.110114
3315600,0.505390,0.102963
3319200,0.195638,0.143394
3322800,0.107349,0.087349
3326400,0.097745,0.077745
3330000,0.110882,0.090882
3333600,0.199084,0.111380
3337200,0.563703,0.106276
3340800,1.025966,0.119679
3344400,1.067399,0.141281
3348000,1.050876,0.117124
3351600,0.909560,0.127233
3355200,0.977981,0.102252
3358800,0.685869,0.128765
3362400,0.655009,0.129547
3366000,0.658894,0.124627
3369600,0.604489,0.130493
3373200,0.626324,0.142201
3376800,0.290190,0.145448
3380400,0.316371,0.146264
3384000,0.279557,0.112250
3387600,0.275317,0.096105
3391200,0.662297,0.142308
3394800,1.040306,0.163347
3398400,1.011246,0.123033
3402000,0.637818,0.119670
3405600,0.277356,0.133447
3409200,0.093739,0.073739
3412800,0.130228,0.110228
3416400,0.067371,0.047371
3420000,0.120260,0.100260
3423600,0.499052,0.105466
3427200,1.028642,0.073804
3430800,0.936490,0.020000
3434400,0.929358,0.020000
3438000,0.903110,0.020000
3441600,0.896430,0.042470
3445200,0.624230,0.033622
3448800,0.621888,0.020000
3452400,0.613406,0.028094
3456000,0.657118,0.020000
3459600,0.662459,0.047857
3463200,0.296088,0.088796
3466800,0.298417,0.103061
3470400,0.306787,0.125540
3474000,0.240841,0.108841
3477600,0.573439,0.119815
3481200,0.879379,0.126649
3484800,0.965428,0.132851
3488400,0.587428,0.131184
3492000,0.229707,0.145451
3495600,0.134882,0.114882
3499200,0.125666,0.105666
3502800,0.120755,0.100755
3506400,0.189162,0.090237
3510000,0.496634,0.080002
3513600,1.070217,0.100460
3517200,1.066217,0.149126
3520800,0.963328,0.164558
3524400,0.866099,0.153426
3528000,0.884831,0.128639
3531600,0.478229,0.117610
3535200,0.476100,0.111316
3538800,0.521279,0.108871
3542400,0.510960,0.083715
3546000,0.554947,0.080481
3549600,0.180584,0.121891
3553200,0.187929,0.131462
3556800,0.186455,0.130855
3560400,0.190556,0.132883
3564000,0.586129,0.121668
3567600,1.021208,0.093267
3571200,1.079719,0.048893
3574800,0.748788,0.073857
3578400,0.338759,0.043750
3582000,0.220753,0.061438
3585600,0.229067,0.080847
3589200,0.218261,0.113578
3592800,0.334622,0.163388
3596400,0.696520,0.172930
3600000,1.190142,0.136713
3603600,1.122795,0.197628
3607200,1.055336,0.131362
3610800,0.942369,0.135128
3614400,0.932593,0.099035
3618000,0.575488,0.061158
3621600,0.584114,0.060857
3625200,0.562127,0.088750
3628800,0.655644,0.123885
3632400,0.651623,0.079709
3636000,0.245417,0.090868
3639600,0.278197,0.057175
3643200,0.259782,0.055741
3646800,0.230648,0.090482
3650400,0.526704,0.116389
