time,band,buy_da,sell_da,buy_realized,sell_realized,eps_buy,eps_sell
385200,D,0.183310,0.187500,0.072935,0.052935,-0.110375,-0.034403
388800,D,0.183310,0.187500,0.094665,0.074665,-0.088645,-0.027553
392400,D,0.183310,0.187500,0.051909,0.031909,-0.131401,-0.044261
396000,V,0.283590,0.187500,0.155982,0.112367,-0.127608,-0.075133
399600,F,0.634570,0.187500,0.527748,0.107350,-0.106822,-0.080150
403200,S,1.135970,0.187500,0.985223,0.070733,-0.150747,-0.116767
406800,S,1.135970,0.187500,0.875953,0.045145,-0.260017,-0.142355
410400,S,1.135970,0.187500,0.916253,0.071942,-0.219717,-0.115558
414000,P,0.985550,0.187500,0.749659,0.055116,-0.235891,-0.132384
417600,P,0.985550,0.187500,0.785222,0.078295,-0.200328,-0.109205
421200,F,0.634570,0.187500,0.464827,0.089668,-0.169743,-0.097832
424800,F,0.634570,0.187500,0.553410,0.085783,-0.081160,-0.101717
428400,F,0.634570,0.187500,0.547458,0.094747,-0.087112,-0.092753
432000,F,0.634570,0.187500,0.483934,0.090734,-0.150636,-0.096766
435600,F,0.634570,0.187500,0.498970,0.076846,-0.135600,-0.110654
439200,V,0.283590,0.187500,0.153767,0.049432,-0.129823,-0.138068
442800,V,0.283590,0.187500,0.184530,0.050264,-0.099060,-0.137236
446400,V,0.283590,0.187500,0.192849,0.020000,-0.090741,-0.172304
450000,V,0.283590,0.187500,0.179838,0.032349,-0.103752,-0.155151
453600,F,0.634570,0.187500,0.612513,0.062111,-0.022057,-0.125389
457200,P,0.985550,0.187500,0.892954,0.098172,-0.092596,-0.089328
460800,P,0.985550,0.187500,0.876760,0.159703,-0.108790,-0.027797
464400,F,0.634570,0.187500,0.513117,0.165797,-0.121453,-0.021703
468000,V,0.283590,0.187500,0.148011,0.128011,-0.135579,-0.035101
471600,D,0.183310,0.187500,0.050000,0.030000,-0.168721,-0.069532
475200,D,0.183310,0.187500,0.050000,0.030000,-0.164419,-0.093165
478800,D,0.183310,0.187500,0.050000,0.030000,-0.156250,-0.073102
482400,V,0.283590,0.187500,0.114141,0.094141,-0.169449,-0.063236
486000,F,0.634570,0.187500,0.470962,0.149721,-0.163608,-0.037779
489600,S,1.135970,0.187500,1.014994,0.174170,-0.120976,-0.013330
493200,S,1.135970,0.187500,1.058557,0.087037,-0.077413,-0.100463
496800,S,1.135970,0.187500,1.211284,0.087266,0.075314,-0.100234
500400,P,0.985550,0.187500,1.191880,0.080855,0.206330,-0.106645
504000,P,0.985550,0.187500,1.179093,0.135449,0.193543,-0.052051
507600,F,0.634570,0.187500,0.748526,0.136060,0.113956,-0.051440
511200,F,0.634570,0.187500,0.615623,0.149448,-0.018947,-0.038052
514800,F,0.634570,0.187500,0.614400,0.136513,-0.020170,-0.050987
518400,F,0.634570,0.187500,0.602088,0.164741,-0.032482,-0.022759
522000,F,0.634570,0.187500,0.609189,0.184435,-0.025381,-0.003065
525600,V,0.283590,0.187500,0.250188,0.203728,-0.033402,0.016228
529200,V,0.283590,0.187500,0.273232,0.216385,-0.010358,0.028885
532800,V,0.283590,0.187500,0.275974,0.164532,-0.007616,-0.022968
536400,V,0.283590,0.187500,0.284050,0.174233,0.000460,-0.013267
540000,F,0.634570,0.187500,0.615587,0.148694,-0.018983,-0.038806
543600,P,0.985550,0.187500,0.908913,0.135054,-0.076637,-0.052446
547200,P,0.985550,0.187500,0.802295,0.135874,-0.183255,-0.051626
550800,F,0.634570,0.187500,0.446747,0.105372,-0.187823,-0.082128
554400,V,0.283590,0.187500,0.106612,0.081879,-0.176978,-0.105621
558000,D,0.183310,0.187500,0.053388,0.033388,-0.129922,-0.111498
561600,D,0.183310,0.187500,0.061625,0.041625,-0.121685,-0.097376
565200,D,0.183310,0.187500,0.070226,0.050226,-0.113084,-0.121884
568800,V,0.283590,0.187500,0.167317,0.109678,-0.116273,-0.077822
572400,F,0.634570,0.187500,0.501100,0.132337,-0.133470,-0.055163
576000,S,1.135970,0.187500,0.937405,0.079756,-0.198565,-0.107744
579600,S,1.135970,0.187500,0.908642,0.054092,-0.227328,-0.133408
583200,S,1.135970,0.187500,1.066843,0.037432,-0.069127,-0.150068
586800,P,0.985550,0.187500,0.879079,0.057382,-0.106471,-0.130118
590400,P,0.985550,0.187500,0.936689,0.064273,-0.048861,-0.123227
594000,F,0.634570,0.187500,0.542000,0.029391,-0.092570,-0.158109
597600,F,0.634570,0.187500,0.608692,0.097910,-0.025878,-0.089590
601200,F,0.634570,0.187500,0.612375,0.089914,-0.022195,-0.097586
604800,F,0.634570,0.187500,0.569509,0.067602,-0.065061,-0.119898
608400,F,0.634570,0.187500,0.551024,0.099968,-0.083546,-0.087532
612000,V,0.283590,0.187500,0.199593,0.127966,-0.083997,-0.059534
615600,V,0.283590,0.187500,0.200187,0.103088,-0.083403,-0.084412
619200,V,0.283590,0.187500,0.190548,0.120618,-0.093042,-0.066882
622800,V,0.283590,0.187500,0.161144,0.135468,-0.122446,-0.052032
626400,F,0.634570,0.187500,0.490854,0.155532,-0.143716,-0.031968
630000,P,0.985550,0.187500,0.888388,0.176209,-0.097162,-0.011291
633600,P,0.985550,0.187500,0.953423,0.163182,-0.032127,-0.024318
637200,F,0.634570,0.187500,0.631465,0.171805,-0.003105,-0.015695
640800,V,0.283590,0.187500,0.274655,0.191072,-0.008935,0.003572
644400,D,0.183310,0.187500,0.144897,0.124897,-0.038413,-0.026686
648000,D,0.183310,0.187500,0.148591,0.128591,-0.034719,-0.055371
651600,D,0.183310,0.187500,0.138877,0.118877,-0.044433,-0.056081
655200,V,0.283590,0.187500,0.219011,0.134925,-0.064579,-0.052575
658800,F,0.634570,0.187500,0.628499,0.168120,-0.006071,-0.019380
662400,S,1.135970,0.187500,1.175701,0.078968,0.039731,-0.108532
666000,S,1.135970,0.187500,1.277187,0.131259,0.141217,-0.056241
669600,S,1.135970,0.187500,1.285626,0.204956,0.149656,0.017456
673200,P,0.985550,0.187500,1.048576,0.210213,0.063026,0.022713
676800,P,0.985550,0.187500,0.953162,0.265051,-0.032388,0.077551
680400,F,0.634570,0.187500,0.683162,0.236590,0.048592,0.049090
684000,F,0.634570,0.187500,0.752861,0.199631,0.118291,0.012131
687600,F,0.634570,0.187500,0.694970,0.146896,0.060400,-0.040604
691200,F,0.634570,0.187500,0.685384,0.150388,0.050814,-0.037112
694800,F,0.634570,0.187500,0.733852,0.172401,0.099282,-0.015099
698400,V,0.283590,0.187500,0.321448,0.180818,0.037858,-0.006682
702000,V,0.283590,0.187500,0.301783,0.181312,0.018193,-0.006188
705600,V,0.283590,0.187500,0.279987,0.172860,-0.003603,-0.014640
709200,V,0.283590,0.187500,0.235869,0.133043,-0.047721,-0.054457
712800,F,0.634570,0.187500,0.611274,0.182173,-0.023296,-0.005327
716400,P,0.985550,0.187500,0.940963,0.215811,-0.044587,0.028311
720000,P,0.985550,0.187500,0.959093,0.186879,-0.026457,-0.000621
723600,F,0.634570,0.187500,0.683187,0.182091,0.048617,-0.005409
727200,V,0.283590,0.187500,0.308462,0.152602,0.024872,-0.034898
730800,D,0.183310,0.187500,0.217760,0.155135,0.034450,-0.032365
734400,D,0.183310,0.187500,0.175825,0.155825,-0.007485,-0.031059
738000,D,0.183310,0.187500,0.149967,0.129967,-0.033343,-0.050859
741600,V,0.283590,0.187500,0.225566,0.116241,-0.058024,-0.071259
745200,F,0.634570,0.187500,0.524416,0.160034,-0.110154,-0.027466
748800,S,1.135970,0.187500,0.976326,0.119858,-0.159644,-0.067642
752400,S,1.135970,0.187500,0.969457,0.097821,-0.166513,-0.089679
756000,S,1.135970,0.187500,1.052082,0.104735,-0.083888,-0.082765
759600,P,0.985550,0.187500,0.817741,0.101732,-0.167809,-0.085768
763200,P,0.985550,0.187500,0.857957,0.153849,-0.127593,-0.033651
766800,F,0.634570,0.187500,0.523528,0.142304,-0.111042,-0.045196
770400,F,0.634570,0.187500,0.536041,0.182784,-0.098529,-0.004716
774000,F,0.634570,0.187500,0.609661,0.206399,-0.024909,0.018899
777600,F,0.634570,0.187500,0.631285,0.224463,-0.003285,0.036963
781200,F,0.634570,0.187500,0.653309,0.164322,0.018739,-0.023178
784800,V,0.283590,0.187500,0.295449,0.163686,0.011859,-0.023814
788400,V,0.283590,0.187500,0.246898,0.144670,-0.036692,-0.042830
792000,V,0.283590,0.187500,0.258785,0.206976,-0.024805,0.019476
795600,V,0.283590,0.187500,0.287099,0.225940,0.003509,0.038440
799200,F,0.634570,0.187500,0.612086,0.230046,-0.022484,0.042546
802800,P,0.985550,0.187500,0.884756,0.200418,-0.100794,0.012918
806400,P,0.985550,0.187500,0.914122,0.255074,-0.071428,0.067574
810000,F,0.634570,0.187500,0.570739,0.230666,-0.063831,0.043166
813600,V,0.283590,0.187500,0.290624,0.201677,0.007034,0.014177
817200,D,0.183310,0.187500,0.189863,0.155900,0.006553,-0.031600
820800,D,0.183310,0.187500,0.167420,0.147420,-0.015890,-0.033503
824400,D,0.183310,0.187500,0.159650,0.139650,-0.023660,-0.043138
828000,V,0.283590,0.187500,0.228243,0.161218,-0.055347,-0.026282
831600,F,0.634570,0.187500,0.529758,0.116612,-0.104812,-0.070888
835200,S,1.135970,0.187500,1.078072,0.103494,-0.057898,-0.084006
838800,S,1.135970,0.187500,1.146448,0.096129,0.010478,-0.091371
842400,S,1.135970,0.187500,1.085486,0.092943,-0.050484,-0.094557
846000,P,0.985550,0.187500,0.922687,0.104962,-0.062863,-0.082538
849600,P,0.985550,0.187500,0.832262,0.135337,-0.153288,-0.052163
853200,F,0.634570,0.187500,0.517517,0.155509,-0.117053,-0.031991
856800,F,0.634570,0.187500,0.472121,0.134721,-0.162449,-0.052779
860400,F,0.634570,0.187500,0.481768,0.174421,-0.152802,-0.013079
864000,F,0.634570,0.187500,0.448152,0.192393,-0.186418,0.004893
867600,F,0.634570,0.187500,0.485996,0.199016,-0.148574,0.011516
871200,V,0.283590,0.187500,0.109534,0.089534,-0.174056,0.013819
874800,V,0.283590,0.187500,0.062696,0.042696,-0.220894,-0.034102
878400,V,0.283590,0.187500,0.152257,0.132257,-0.131333,-0.022191
882000,V,0.283590,0.187500,0.155684,0.135684,-0.127906,-0.015330
885600,F,0.634570,0.187500,0.494641,0.173582,-0.139929,-0.013918
889200,P,0.985550,0.187500,0.976638,0.175264,-0.008912,-0.012236
892800,P,0.985550,0.187500,1.144817,0.146005,0.159267,-0.041495
896400,F,0.634570,0.187500,0.699875,0.132226,0.065305,-0.055274
900000,V,0.283590,0.187500,0.293185,0.103523,0.009595,-0.083977
903600,D,0.183310,0.187500,0.188009,0.096456,0.004699,-0.091044
907200,D,0.183310,0.187500,0.190918,0.086258,0.007608,-0.101242
910800,D,0.183310,0.187500,0.141733,0.075947,-0.041577,-0.111553
914400,V,0.283590,0.187500,0.228554,0.082878,-0.055036,-0.104622
918000,F,0.634570,0.187500,0.620827,0.104418,-0.013743,-0.083082
921600,S,1.135970,0.187500,1.175946,0.081774,0.039976,-0.105726
925200,S,1.135970,0.187500,1.121637,0.125249,-0.014333,-0.062251
928800,S,1.135970,0.187500,1.108017,0.050066,-0.027953,-0.137434
932400,P,0.985550,0.187500,0.902605,0.117114,-0.082945,-0.070386
936000,P,0.985550,0.187500,0.873705,0.118369,-0.111845,-0.069131
939600,F,0.634570,0.187500,0.538173,0.144323,-0.096397,-0.043177
943200,F,0.634570,0.187500,0.530096,0.103386,-0.104474,-0.084114
946800,F,0.634570,0.187500,0.538540,0.133076,-0.096030,-0.054424
950400,F,0.634570,0.187500,0.552556,0.124141,-0.082014,-0.063359
954000,F,0.634570,0.187500,0.623894,0.187683,-0.010676,0.000183
957600,V,0.283590,0.187500,0.284322,0.219201,0.000732,0.031701
961200,V,0.283590,0.187500,0.297506,0.221664,0.013916,0.034164
964800,V,0.283590,0.187500,0.257180,0.156352,-0.026410,-0.031148
968400,V,0.283590,0.187500,0.233590,0.146347,-0.050000,-0.041153
972000,F,0.634570,0.187500,0.538937,0.168261,-0.095633,-0.019239
975600,P,0.985550,0.187500,0.886897,0.168878,-0.098653,-0.018622
979200,P,0.985550,0.187500,0.900456,0.203415,-0.085094,0.015915
982800,F,0.634570,0.187500,0.655412,0.205725,0.020842,0.018225
986400,V,0.283590,0.187500,0.326067,0.174641,0.042477,-0.012859
990000,D,0.183310,0.187500,0.195413,0.143454,0.012103,-0.044046
993600,D,0.183310,0.187500,0.178382,0.150302,-0.004928,-0.037198
997200,D,0.183310,0.187500,0.166785,0.146785,-0.016525,-0.020376
1000800,V,0.283590,0.187500,0.303405,0.164012,0.019815,-0.023488
1004400,F,0.634570,0.187500,0.630402,0.112938,-0.004168,-0.074562
1008000,S,1.135970,0.187500,1.149830,0.110779,0.013860,-0.076721
1011600,S,1.135970,0.187500,1.022934,0.082474,-0.113036,-0.105026
1015200,S,1.135970,0.187500,1.097718,0.060699,-0.038252,-0.126801
1018800,P,0.985550,0.187500,0.997247,0.096275,0.011697,-0.091225
1022400,P,0.985550,0.187500,0.909479,0.132215,-0.076071,-0.055285
1026000,F,0.634570,0.187500,0.563148,0.170712,-0.071422,-0.016788
1029600,F,0.634570,0.187500,0.566938,0.165850,-0.067632,-0.021650
1033200,F,0.634570,0.187500,0.547491,0.161775,-0.087079,-0.025725
1036800,F,0.634570,0.187500,0.530364,0.128305,-0.104206,-0.059195
1040400,F,0.634570,0.187500,0.548738,0.152942,-0.085832,-0.034558
1044000,V,0.283590,0.187500,0.188468,0.159748,-0.095122,-0.027752
1047600,V,0.283590,0.187500,0.192405,0.153698,-0.091185,-0.033802
1051200,V,0.283590,0.187500,0.227984,0.122248,-0.055606,-0.065252
1054800,V,0.283590,0.187500,0.144700,0.124512,-0.138890,-0.062988
1058400,F,0.634570,0.187500,0.485199,0.105923,-0.149371,-0.081577
1062000,P,0.985550,0.187500,0.858841,0.112694,-0.126709,-0.074806
1065600,P,0.985550,0.187500,0.916237,0.107484,-0.069313,-0.080016
1069200,F,0.634570,0.187500,0.546448,0.131126,-0.088122,-0.056374
1072800,V,0.283590,0.187500,0.178637,0.149576,-0.104953,-0.037924
1076400,D,0.183310,0.187500,0.073254,0.053254,-0.110056,-0.063615
1080000,D,0.183310,0.187500,0.142355,0.122355,-0.040955,-0.052689
1083600,D,0.183310,0.187500,0.125634,0.105634,-0.057676,-0.040192
1087200,V,0.283590,0.187500,0.272696,0.159626,-0.010894,-0.027874
1090800,F,0.634570,0.187500,0.610870,0.147345,-0.023700,-0.040155
1094400,S,1.135970,0.187500,1.080428,0.186462,-0.055542,-0.001038
1098000,S,1.135970,0.187500,1.002843,0.226464,-0.133127,0.038964
1101600,S,1.135970,0.187500,1.000562,0.189155,-0.135408,0.001655
1105200,P,0.985550,0.187500,0.909286,0.199136,-0.076264,0.011636
1108800,P,0.985550,0.187500,0.917210,0.140961,-0.068340,-0.046539
1112400,F,0.634570,0.187500,0.625731,0.095058,-0.008839,-0.092442
1116000,F,0.634570,0.187500,0.692588,0.112539,0.058018,-0.074961
1119600,F,0.634570,0.187500,0.694851,0.131949,0.060281,-0.055551
1123200,F,0.634570,0.187500,0.753321,0.172812,0.118751,-0.014688
1126800,F,0.634570,0.187500,0.735724,0.137332,0.101154,-0.050168
1130400,V,0.283590,0.187500,0.405775,0.155009,0.122185,-0.032491
1134000,V,0.283590,0.187500,0.371194,0.163044,0.087604,-0.024456
1137600,V,0.283590,0.187500,0.373423,0.159126,0.089833,-0.028374
1141200,V,0.283590,0.187500,0.306566,0.130990,0.022976,-0.056510
1144800,F,0.634570,0.187500,0.666382,0.112699,0.031812,-0.074801
1148400,P,0.985550,0.187500,0.948659,0.136818,-0.036891,-0.050682
1152000,P,0.985550,0.187500,0.979655,0.144478,-0.005895,-0.043022
1155600,F,0.634570,0.187500,0.582001,0.108661,-0.052569,-0.078839
1159200,V,0.283590,0.187500,0.254730,0.095007,-0.028860,-0.092493
1162800,D,0.183310,0.187500,0.152976,0.103033,-0.030334,-0.084467
1166400,D,0.183310,0.187500,0.177509,0.077202,-0.005801,-0.110298
1170000,D,0.183310,0.187500,0.163847,0.068163,-0.019463,-0.119337
1173600,V,0.283590,0.187500,0.195568,0.072215,-0.088022,-0.115285
1177200,F,0.634570,0.187500,0.552658,0.111178,-0.081912,-0.076322
1180800,S,1.135970,0.187500,0.977590,0.126499,-0.158380,-0.061001
1184400,S,1.135970,0.187500,0.934357,0.177406,-0.201613,-0.010094
1188000,S,1.135970,0.187500,1.089336,0.144559,-0.046634,-0.042941
1191600,P,0.985550,0.187500,0.944968,0.158876,-0.040582,-0.028624
1195200,P,0.985550,0.187500,0.883995,0.128702,-0.101555,-0.058798
1198800,F,0.634570,0.187500,0.498159,0.162281,-0.136411,-0.025219
1202400,F,0.634570,0.187500,0.525440,0.157831,-0.109130,-0.029669
1206000,F,0.634570,0.187500,0.461889,0.111636,-0.172681,-0.075864
1209600,F,0.634570,0.187500,0.487952,0.140356,-0.146618,-0.047144
1213200,F,0.634570,0.187500,0.509389,0.156532,-0.125181,-0.030968
1216800,V,0.283590,0.187500,0.174586,0.111099,-0.109004,-0.076401
1220400,V,0.283590,0.187500,0.210071,0.121450,-0.073519,-0.066050
1224000,V,0.283590,0.187500,0.135384,0.104603,-0.148206,-0.082897
1227600,V,0.283590,0.187500,0.174576,0.151419,-0.109014,-0.036081
1231200,F,0.634570,0.187500,0.564186,0.146398,-0.070384,-0.041102
1234800,P,0.985550,0.187500,0.951833,0.137808,-0.033717,-0.049692
1238400,P,0.985550,0.187500,1.038948,0.119983,0.053398,-0.067517
1242000,F,0.634570,0.187500,0.565030,0.117879,-0.069540,-0.069621
1245600,V,0.283590,0.187500,0.186847,0.109861,-0.096743,-0.077639
1249200,D,0.183310,0.187500,0.106826,0.086826,-0.076484,-0.066886
1252800,D,0.183310,0.187500,0.050000,0.030000,-0.134300,-0.093045
1256400,D,0.183310,0.187500,0.077297,0.057297,-0.106013,-0.098416
1260000,V,0.283590,0.187500,0.200808,0.114894,-0.082782,-0.072606
1263600,F,0.634570,0.187500,0.570048,0.081255,-0.064522,-0.106245
1267200,S,1.135970,0.187500,1.011881,0.071905,-0.124089,-0.115595
1270800,S,1.135970,0.187500,1.091303,0.126105,-0.044667,-0.061395
1274400,S,1.135970,0.187500,1.170750,0.100755,0.034780,-0.086745
1278000,P,0.985550,0.187500,1.022897,0.072690,0.037347,-0.114810
1281600,P,0.985550,0.187500,1.050094,0.140363,0.064544,-0.047137
1285200,F,0.634570,0.187500,0.699591,0.119351,0.065021,-0.068149
1288800,F,0.634570,0.187500,0.636427,0.126422,0.001857,-0.061078
1292400,F,0.634570,0.187500,0.623152,0.130658,-0.011418,-0.056842
1296000,F,0.634570,0.187500,0.604035,0.093971,-0.030535,-0.093529
1299600,F,0.634570,0.187500,0.640985,0.144589,0.006415,-0.042911
1303200,V,0.283590,0.187500,0.324740,0.180076,0.041150,-0.007424
1306800,V,0.283590,0.187500,0.267184,0.172441,-0.016406,-0.015059
1310400,V,0.283590,0.187500,0.268505,0.166866,-0.015085,-0.020634
1314000,V,0.283590,0.187500,0.326003,0.163070,0.042413,-0.024430
1317600,F,0.634570,0.187500,0.638362,0.132563,0.003792,-0.054937
1321200,P,0.985550,0.187500,0.929006,0.124612,-0.056544,-0.062888
1324800,P,0.985550,0.187500,0.923400,0.123738,-0.062150,-0.063762
1328400,F,0.634570,0.187500,0.608630,0.143983,-0.025940,-0.043517
1332000,V,0.283590,0.187500,0.239457,0.121726,-0.044133,-0.065774
1335600,D,0.183310,0.187500,0.187338,0.163279,0.004028,-0.024221
1339200,D,0.183310,0.187500,0.187802,0.142232,0.004492,-0.045268
1342800,D,0.183310,0.187500,0.219073,0.181398,0.035763,-0.006102
1346400,V,0.283590,0.187500,0.327486,0.158502,0.043896,-0.028998
1350000,F,0.634570,0.187500,0.764750,0.185813,0.130180,-0.001687
1353600,S,1.135970,0.187500,1.246701,0.180444,0.110731,-0.007056
